"DP1"	"DP2"	"DP3"	"DN1"	"DN2"	"DN3"
"KEGG_N_GLYCAN_BIOSYNTHESIS"	0.16366292373666	0.283783057631724	0.384847884019922	-0.343557831647898	-0.358176835180767	-0.097680880389686
"KEGG_OTHER_GLYCAN_DEGRADATION"	-0.236098162202918	0.0650368363204056	-0.403211973613691	0.162846198178503	0.0537970318085822	0.236183477604565
"KEGG_O_GLYCAN_BIOSYNTHESIS"	-0.475823403263046	-0.0166364064244855	-0.274518766993851	0.555360159973765	0.333264629849677	0.06834344987844
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION"	0.215549484533709	-0.2787420816987	0.103881932005862	-0.31078647096402	0.283039090167339	-0.0224455979211792
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE"	0.00617963379002656	-0.118364028804959	-0.0747624655769071	0.220392652938836	0.252923224944372	-0.14230925728457
"KEGG_GLYCEROLIPID_METABOLISM"	-0.1233568909842	0.0721716507123836	0.26758420949097	-0.0961812817582377	0.241678874314375	-0.0907134455168155
"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"	0.0289056075474755	0.325328660449797	0.237280943770378	-0.428281349954318	0.0239495295385113	0.028696051058572
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"	-0.0670227526144926	0.152207415847521	0.310359823066678	-0.181711921112296	0.0338653478068196	-0.0742012299531112
"KEGG_ETHER_LIPID_METABOLISM"	-0.0543819848232163	-0.144471884544651	0.0797145070109334	0.0711500140227641	0.32065956586369	0.141650832710024
"KEGG_ARACHIDONIC_ACID_METABOLISM"	0.356230967162236	0.30120626831708	0.19955410340993	-0.520120404773931	-0.261138413590824	0.0779520295203068
"KEGG_LINOLEIC_ACID_METABOLISM"	-0.166332999461952	-0.258592414922435	-0.599337588526114	0.305551612919922	0.108829173173229	0.475073421703714
"KEGG_ALPHA_LINOLENIC_ACID_METABOLISM"	-0.142048523174489	0.2665998085666	-0.436446437905309	0.121217668888517	0.0987860275627696	0.339839276784811
"KEGG_SPHINGOLIPID_METABOLISM"	0.31373528150316	-0.392858867729913	-0.130488979246936	0.11171884493894	0.124298957060786	0.170798440073058
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES"	0.0645614523271644	-0.340512484955743	-0.163560762341116	0.375174713424656	0.428495701750909	-0.234618013424427
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES"	-0.305892420263264	-0.620165557465453	-0.24883780054705	0.118342084646313	0.0870992611907191	0.598628156040146
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES"	-0.0671765851847126	-0.204757917448802	-0.235642879014951	0.144984784354507	0.0950858184189326	0.487731004909099
"KEGG_RIBOFLAVIN_METABOLISM"	-0.146006027878653	-0.0639146018992078	0.0994440718168666	0.356443856821479	0.182988680596168	-0.247396514651506
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM"	-0.305443926387183	0.404729753547458	0.119730040769827	0.103089461813367	0.261710467619962	-0.150697506853199
"KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS"	0.309612502313239	0.244141038930266	0.309978162420704	0.0396732597440492	-0.147804856346305	-0.709056907430661
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS"	0.209957509698873	0.673236352771855	0.463022913293584	-0.597066280447458	-0.00299003069265227	-0.485230019973123
"KEGG_BASAL_TRANSCRIPTION_FACTORS"	0.428727805147541	0.481040001302996	0.121271599118436	-0.271131621173595	-0.0351539802219954	-0.463717332756668
"KEGG_NON_HOMOLOGOUS_END_JOINING"	0.392783143359643	0.0228348424277791	-0.341066370768791	-0.217074650478918	-0.0481593397227136	-0.241464470761262
"KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT"	0.276585169886946	0.21693065416347	0.113923810146751	0.12768174585797	-0.236339600106902	-0.318323977989525
"KEGG_LYSOSOME"	-0.0104023312781191	-0.0569185326221415	0.0465774157658023	-0.0981721729708467	0.0138113754107684	-0.0623378845617029
"KEGG_CARDIAC_MUSCLE_CONTRACTION"	0.36030893328008	0.380587416288946	0.160290303671913	-0.263766812433616	-0.43097566884143	-0.212108967335134
"KEGG_RENIN_ANGIOTENSIN_SYSTEM"	0.219840129194775	0.677086214845552	0.0626726554709222	0.262295753982904	-0.272038700915785	-0.374336627283681
"KEGG_CIRCADIAN_RHYTHM_MAMMAL"	-0.0181198262638307	0.556101454725837	0.678735777088472	-0.499529354013429	-0.420063265511348	0.31041462357581
"KEGG_TASTE_TRANSDUCTION"	-0.566643174863497	-0.4663146036721	-0.57417396407143	0.351806068619629	0.488467637756468	0.38399509850459
"KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION"	0.370084377850138	0.466257249161593	0.0568713117735306	-0.150643644138742	0.0350488839697805	-0.544168068200194
"KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION"	0.0270499593773041	0.0451567824418382	-0.20396604045367	0.119383461542689	-0.336632484784269	-0.0836838721184442
"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS"	-0.262521483823438	-0.33231220188334	-0.22525959622283	0.194109970917644	0.0298003117336799	0.486420282172687
"KEGG_PRIMARY_IMMUNODEFICIENCY"	-0.428813999443867	0.15737541797782	-0.215733201888928	0.297384161101853	0.175638313271567	0.113166593841167
"KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM"	-0.309799264504952	-0.203187025167206	-0.195775866412396	0.215926507119233	-0.0317133900910593	0.173519476516162
"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC"	-0.299889492992733	-0.174065013711754	-0.197093645628946	0.11111055900108	0.19133747072923	0.126384804454942
"KEGG_DILATED_CARDIOMYOPATHY"	-0.446041393784954	-0.17472089261287	-0.318250782076843	0.272537761440448	0.113514614576997	0.293173798747144
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS"	-0.0095551409681557	0.106045421969951	0.205763091551427	-0.0339101874637953	0.00956191595259984	-0.264366211133348
"KEGG_CITRATE_CYCLE_TCA_CYCLE"	0.214512899406688	0.467521658914452	0.319993600086217	-0.304095863480007	-0.290059733185623	-0.493069337388247
"KEGG_PENTOSE_PHOSPHATE_PATHWAY"	0.246220456483689	0.321784370230504	-0.141982209484954	-0.339514131378055	0.0302384566411058	-0.121093551936266
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS"	-0.127797334184839	0.625782422448814	0.240849414841041	-0.456406752552309	-0.0253400131409494	-0.0263824182279327
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM"	0.201917890486382	-0.0555965462426133	-0.0910091303173964	-0.098178809788127	0.109424321267772	0.181929465223596
"KEGG_GALACTOSE_METABOLISM"	0.30654568201436	0.395030095261436	0.210792488760098	-0.400398891860876	0.146418020679469	-0.287811766210599
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM"	-0.454932664743274	0.0994340566107906	0.348642483545699	0.459486755824895	0.424951902553774	-0.442597184118738
"KEGG_FATTY_ACID_METABOLISM"	-0.0104455636281356	0.268479231024533	0.136270954770331	-0.215520984905496	-0.0623882952160369	-0.189963698379397
"KEGG_STEROID_BIOSYNTHESIS"	0.347175367608857	0.456706442267394	0.193107972752171	0.00327117447441352	-0.348285484336995	-0.337706458282065
"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS"	-0.368473280713527	-0.584675440023861	0.0144753770603641	0.228861169411821	-0.279341475867185	0.533800063751526
"KEGG_STEROID_HORMONE_BIOSYNTHESIS"	0.509939270034868	0.142898607347812	0.259538726227861	-0.581097646833643	-0.234344070100977	0.132655953089192
"KEGG_OXIDATIVE_PHOSPHORYLATION"	0.291841629304156	0.381304849254618	0.231356459440237	-0.263049130739607	-0.459673760795841	-0.18904590784778
"KEGG_PURINE_METABOLISM"	-0.0239143753726426	0.159155472097153	-0.108199462677622	0.025134566893591	0.0875242104493204	-0.123082815088178
"KEGG_PYRIMIDINE_METABOLISM"	0.129846616166857	0.345375082733176	-0.0780057761835937	-0.0801507581974479	-0.0463358376146157	-0.178436363593051
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM"	0.35770680152653	0.412188151080467	0.23425135670166	-0.341419583492363	-0.113611114921816	-0.38873164534979
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM"	-0.150972677806467	-0.0489475600903987	-0.00320096895254907	-0.068193835529994	0.251282543838955	-0.109990705799192
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM"	0.282631103726577	0.447297531109044	0.394164306006964	-0.434878307230997	-0.355833607730372	-0.407924787831273
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION"	0.212358517914522	0.291342101190854	0.266824878813071	-0.400267326022241	-0.052786946417009	-0.212861825873166
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS"	0.647974718696574	0.500637111579219	0.357769197309638	-0.570920671778059	-0.204284678138529	-0.717906478166945
"KEGG_LYSINE_DEGRADATION"	0.0490968252695887	0.0884867219730735	0.0802750244208403	0.0822190496617651	-0.288238487241044	-0.139191218999255
"KEGG_ARGININE_AND_PROLINE_METABOLISM"	0.107089358256722	0.319218782891551	0.116977785429077	-0.195302330104945	-0.0690075424667322	-0.337051996205469
"KEGG_HISTIDINE_METABOLISM"	-0.0622360839784196	0.225399242788279	0.300796023103411	-0.205097480736015	0.107399258219183	-0.365711969139878
"KEGG_TYROSINE_METABOLISM"	0.38222447402587	0.425369057061731	0.477837500538338	-0.543160970121028	-0.184261942120261	-0.410934290325673
"KEGG_PHENYLALANINE_METABOLISM"	0.268016701946684	0.506303860256137	0.495123974051969	-0.194075164390443	-0.233435613075792	-0.390771047191386
"KEGG_TRYPTOPHAN_METABOLISM"	-0.335402800173384	0.00040096750284152	0.0651312822433335	0.0581955747800013	0.263028902608657	-0.00112597568292586
"KEGG_BETA_ALANINE_METABOLISM"	-0.538568718629231	0.105564409119951	0.0718309863258901	0.095912299838798	0.228235384468453	-0.192325200922687
"KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM"	-0.69782448377563	-0.935656342182669	-0.900626843657601	0.753502949852511	0.905420353982301	0.818399705014752
"KEGG_SELENOAMINO_ACID_METABOLISM"	0.257424233617741	0.452601786418849	0.525066848350372	-0.496582437060642	-0.0444263670057544	-0.618789815369002
"KEGG_GLUTATHIONE_METABOLISM"	0.281210974516411	0.307019025162784	0.152651708319429	-0.476308028565921	-0.117722593283388	-0.293336509666148
"KEGG_STARCH_AND_SUCROSE_METABOLISM"	-0.255168314636069	0.455657800225108	0.151945738388723	-0.246335797039649	-0.0950354820232597	-0.261614306779564
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM"	0.117437852112944	0.340847607372326	0.162717294909257	-0.336594282214815	-0.0895867783608357	0.0562146139412581
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE"	-0.212645381212699	-0.319153650542804	-0.0513959073060822	0.000314306693583288	0.480359686120255	0.221089161627975
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE"	0.0227181672291515	0.146620870218689	0.370105523863388	-0.344452166498576	0.328525325017298	0.152971787383801
"KEGG_INOSITOL_PHOSPHATE_METABOLISM"	-0.144485106142143	-0.0428255488678912	-0.29662695529148	0.13402127555217	0.0778488376258277	0.165430835214102
"KEGG_PYRUVATE_METABOLISM"	-0.031304932601855	-0.0314912941235405	0.136410896771905	0.176653537561097	0.06262627678053	-0.207925382468893
"KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM"	0.053374444877311	0.237954203391313	0.521156641128725	-0.413523849505647	-0.110300613297695	-0.270189096826271
"KEGG_PROPANOATE_METABOLISM"	-0.166125896399223	0.138905991586982	0.117459150975884	-0.113256682875108	-0.0335247980779109	-0.0235841854553084
"KEGG_BUTANOATE_METABOLISM"	-0.0666437810626462	0.13144673330034	0.140372922526149	0.00149581563310222	0.194902237380093	-0.24927918035626
"KEGG_ONE_CARBON_POOL_BY_FOLATE"	0.272251323477239	0.199087582999583	0.287806557697933	-0.197727209486214	-0.332035973979597	-0.436504193926085
"KEGG_FOLATE_BIOSYNTHESIS"	0.280693389774789	-0.0560329432594048	0.146770562585557	-0.266623103506879	-0.168408631310346	-0.182094267285464
"KEGG_RETINOL_METABOLISM"	-0.406745565558786	0.475032132440415	0.0931677329407909	-0.243458257857988	0.414707142711918	0.174289018890215
"KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM"	-0.142944334263487	0.418984678175719	0.329612318242439	-0.421548147957451	-0.0924805815031392	-0.0739367925227245
"KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS"	0.257528658996595	0.432817022282312	0.303831486262015	-0.511178136327602	-0.219270586671338	-0.274322389950212
"KEGG_LIMONENE_AND_PINENE_DEGRADATION"	-0.49341923205791	-0.0883855382914378	0.0575433781521688	0.336466922066462	0.36405169257802	-0.108284530399097
"KEGG_NITROGEN_METABOLISM"	0.443283635612886	0.330308672602259	0.403891956266825	-0.451154511954043	-0.263223693909651	-0.598806750872797
"KEGG_SULFUR_METABOLISM"	0.230613951624002	-0.123958486379675	0.466587354507832	-0.628955904526543	0.262611091851401	-0.608913468658983
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450"	0.24968821313178	0.468846509103989	0.526734659139446	-0.547967557925282	-0.49349989555476	0.167887392973953
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450"	0.210455083095803	0.00596040981777385	0.359110714554158	-0.506527920160581	-0.101291263169151	0.439791682351845
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES"	0.11232907783817	0.280576548697033	-0.0396171058643144	-0.14446598502594	-0.316856032950037	-0.0583626015695312
"KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS"	0.232985625118562	0.414554511232191	0.223446313720648	-0.328939319213324	-0.0938357278192257	-0.165103287022625
"KEGG_ABC_TRANSPORTERS"	-0.141352356347889	-0.2732347362049	-0.288429424120854	0.125064959721437	0.385118491367475	0.338617457106972
"KEGG_RIBOSOME"	0.564083172596799	0.461823747951906	0.0598643270161448	-0.547526713250622	-0.543768979977041	-0.350294010213299
"KEGG_RNA_DEGRADATION"	0.224200206996089	0.501596869823293	0.223341807051296	-0.248601024899797	-0.368487510615049	-0.474579366814646
"KEGG_RNA_POLYMERASE"	0.462409435897909	0.446020754668484	0.0730722945850094	-0.289430430820864	-0.364743103410678	-0.34525210270878
"KEGG_DNA_REPLICATION"	0.361363032903832	0.440373970756379	0.131795986775692	-0.374200949404237	-0.378284308902228	-0.443881447897382
"KEGG_SPLICEOSOME"	0.510730589270398	0.50634040234137	0.0893851984651128	-0.412654651790266	-0.559207590893027	-0.269570720844316
"KEGG_PROTEASOME"	0.451778163126615	0.543935666650135	0.238183641631336	-0.492757012857477	-0.54618114680332	-0.365242147937952
"KEGG_PROTEIN_EXPORT"	0.416630455239465	0.538960827049231	0.26631963261283	-0.231850066334419	-0.323913072988968	-0.338746404499651
"KEGG_PPAR_SIGNALING_PATHWAY"	-0.0394759850153159	0.144735220419052	-0.18722280441278	0.0432182598960811	-0.0831760179966218	0.0759389097667129
"KEGG_BASE_EXCISION_REPAIR"	0.168956455802403	0.118458625434299	-0.214360972926655	0.0359070170741036	-0.184818820762547	-0.0620672312878548
